numero;fibonacci;Fib+1;fib+1-1
0;1,000000;2,000000;1,000000
1;1,000000;2,000000;1,000000
2;2,000000;3,000000;1,000000
3;3,000000;4,000000;1,000000
4;5,000000;6,000000;1,000000
5;8,000000;9,000000;1,000000
6;13,000000;14,000000;1,000000
7;21,000000;22,000000;1,000000
8;34,000000;35,000000;1,000000
9;55,000000;56,000000;1,000000
10;89,000000;90,000000;1,000000
11;144,000000;145,000000;1,000000
12;233,000000;234,000000;1,000000
13;377,000000;378,000000;1,000000
14;610,000000;611,000000;1,000000
15;987,000000;988,000000;1,000000
16;1597,000000;1598,000000;1,000000
17;2584,000000;2585,000000;1,000000
18;4181,000000;4182,000000;1,000000
19;6765,000000;6766,000000;1,000000
20;10946,000000;10947,000000;1,000000
21;17711,000000;17712,000000;1,000000
22;28657,000000;28658,000000;1,000000
23;46368,000000;46369,000000;1,000000
24;75025,000000;75026,000000;1,000000
25;121393,000000;121394,000000;1,000000
26;196418,000000;196419,000000;1,000000
27;317811,000000;317812,000000;1,000000
28;514229,000000;514230,000000;1,000000
29;832040,000000;832041,000000;1,000000
30;1346269,000000;1346270,000000;1,000000
31;2178309,000000;2178310,000000;1,000000
32;3524578,000000;3524579,000000;1,000000
33;5702887,000000;5702888,000000;1,000000
34;9227465,000000;9227466,000000;1,000000
35;14930352,000000;14930353,000000;1,000000
36;24157817,000000;24157818,000000;1,000000
37;39088169,000000;39088170,000000;1,000000
38;63245986,000000;63245987,000000;1,000000
39;102334155,000000;102334156,000000;1,000000
40;165580141,000000;165580142,000000;1,000000
41;267914296,000000;267914297,000000;1,000000
42;433494437,000000;433494438,000000;1,000000
43;701408733,000000;701408734,000000;1,000000
44;1134903170,000000;1134903171,000000;1,000000
45;1836311903,000000;1836311904,000000;1,000000
46;2971215073,000000;2971215074,000000;1,000000
47;4807526976,000000;4807526977,000000;1,000000
48;7778742049,000000;7778742050,000000;1,000000
49;12586269025,000000;12586269026,000000;1,000000
50;20365011074,000000;20365011075,000000;1,000000
51;32951280099,000000;32951280100,000000;1,000000
52;53316291173,000000;53316291174,000000;1,000000
53;86267571272,000000;86267571273,000000;1,000000
54;139583862445,000000;139583862446,000000;1,000000
55;225851433717,000000;225851433718,000000;1,000000
56;365435296162,000000;365435296163,000000;1,000000
57;591286729879,000000;591286729880,000000;1,000000
